rule_id	category	from	to	count	n_chapters	n_contexts	reverse_count	witnesses	examples	status	comment
R0093	other	ś	ch	3	3	3	2	H K N	SS.1.14.18 K «vayaḥ pariṇāmāc śukraprādurbhāvo» -> «vayaḥpariṇāmāc chukraprādurbhāvo» ‖ SS.2.1.68cdef N «bhārāt śayanād viṣamād api» -> «bhārāc chayanād viṣamād api» ‖ SS.5.4.28 H «kecit śūdrās te» -> «kecic chūdrās te»	proposed	
R0094	other	ṃ	ḥ	3	2	2	2	H K	SS.4.4.15 H «sarvvasnehasamāyutaṃ» -> «sarvvasnehasamāyutaḥ» ‖ SS.6.64.27e K «svalaṃkṛtāṃ» -> «svalaṃkṛtāḥ» ‖ SS.6.64.27e H «svalaṃkṛtāṃ» -> «svalaṃkṛtāḥ»	proposed	
R0095	other		'n	2	1	1	0	H K	SS.5.1.25 K «napāne ca» -> «'nnapāne ca» ‖ SS.5.1.25 H «napāne ca» -> «'nnapāne ca»	proposed	
R0096	other		an	2	1	1	0	H K	SS.5.5.61 K «sthitiḥ sa» -> «'sthani sa» ‖ SS.5.5.61 H «sthitiḥ sa» -> «'sthani sa»	proposed	
R0097	other	 t	ṣ	2	1	1	0	H K	SS.6.17.87 K «akṣi tu» -> «akṣiṣu» ‖ SS.6.17.87 H «akṣi tu» -> «akṣiṣu»	proposed	
R0098	other	 |	ḥ	2	1	1	0	K	SS.6.17.41 K «madigrapesimā |» -> «madirāgrapeṣitāḥ» ‖ SS.6.17.41 K «madirāgrapesimā |» -> «madirāgrapeṣitāḥ»	proposed	
R0099	other	 ||	ḥ	2	1	1	0	H K	SS.5.2.55 K «to nyad ahitāśina ||» -> «'nyad ahitāśinaḥ» ‖ SS.5.2.55 H «'nyad ahitāśina ||» -> «'nyad ahitāśinaḥ»	proposed	
R0100	other	air	ā	2	1	1	0	H K	SS.6.64.11b K «bhojyair» -> «bhojyā» ‖ SS.6.64.11b H «bbhojyair» -> «bhojyā»	proposed	
R0101	other	aṃ 	ā	2	2	2	0	H	SS.5.1.62 H «sphoṭanaṃ srāvau» -> «sphoṭanāsrāvau» ‖ SS.6.17.34 H «tathāśvagandhātivalāvalaṃ śritaṃ» -> «tathāśvagandhātibalābalāśritaṃ»	proposed	
R0102	other	ch	ś	2	2	2	3	H	SS.1.1.4 H «bhagavac chārīramānasāgantubhir» -> «bhagavañ śārīramānasāgantubhir» ‖ SS.3.2.7 H «choṇita retasi» -> «śoṇitaretasi»	proposed	
R0103	other	e	ā	2	1	1	0	H K	SS.5.8.58 K «madhye» -> «madhyā» ‖ SS.5.8.58 H «madhye» -> «madhyā»	proposed	
R0104	other	g	bh	2	1	1	0	H K	SS.6.17.64b K «athāgramukte ca» -> «athābhramukte ca» ‖ SS.6.17.64b H «athāgramuktai» -> «athābhramukte ca»	proposed	
R0105	other	i	a	2	2	2	1	H	SS.4.4.18 H «vakṣastrikaskandhigatam» -> «vakṣastrikaskandhagatam» ‖ SS.6.17.22 H «g nidhāpayet | kośike» -> «nidhāpayet | kośake»	proposed	
R0106	other	j	g	2	1	1	0	H K	SS.6.17.35 K «sasaindhava kravyabhujenamāsa» -> «sasaindhavakravyabhugeṇamāṃsajo» ‖ SS.6.17.35 H «sasaindhava kravyabhujenamāsajo» -> «sasaindhavakravyabhugeṇamāṃsajo»	proposed	
R0107	other	j	k	2	1	1	0	H N	SS.3.1.3 N «ivādakaujasām» -> «ivodakaukasāṃ» ‖ SS.3.1.3 H «ivodakaujasām» -> «ivodakaukasāṃ»	proposed	
R0108	other	t	c	2	2	2	0	H N	SS.2.1.68cdef N «bhārāt śayanād viṣamād api» -> «bhārāc chayanād viṣamād api» ‖ SS.5.4.28 H «kecit śūdrās te» -> «kecic chūdrās te»	proposed	
R0109	other	tiḥ		2	1	1	0	H K	SS.5.5.61 K «sthitiḥ sa» -> «'sthani sa» ‖ SS.5.5.61 H «sthitiḥ sa» -> «'sthani sa»	proposed	
R0110	other	to 	'	2	2	1	0	K N	SS.1.16.15 N «to nyatamasya» -> «'nyatamasya» ‖ SS.5.2.55 K «to nyad ahitāśina ||» -> «'nyad ahitāśinaḥ»	proposed	
R0111	other	v	p	2	1	2	1	H N	SS.1.16.10 N «cārddhakavāpasandhikaḥ |» -> «cārddhakapāṭasandhikaḥ» ‖ SS.1.16.10 H «vārddhakavāṭasandhikaḥ |» -> «cārddhakapāṭasandhikaḥ»	proposed	
R0112	other	ven		2	1	1	0	H K	SS.5.8.92ab K «vendhenvarthe» -> «dhenvarthe» ‖ SS.5.8.92ab H «vendheṇvarthe» -> «dhenvarthe»	proposed	
R0113	other	ā	am	2	1	1	1	H N	SS.1.16.8 N «la pravardhanakā» -> «laghupravarddhanakam» ‖ SS.1.16.8 H «laghupravarddhanakā» -> «laghupravarddhanakam»	proposed	
R0114	other	ās	aḥ	2	1	1	0	H K	SS.1.1.22 K «saṃsvedajādrijajarāyujāṇḍajasaṃjñās» -> «saṃsvedajādrijajarāyujāṇḍajasaṃjñaḥ» ‖ SS.1.1.22 H «saṃsvedajo hridajarāyujāṇḍajasaṃjñās» -> «saṃsvedajādrijajarāyujāṇḍajasaṃjñaḥ»	proposed	
R0115	other	ḥ	ṃ	2	1	1	3	H K	SS.5.8.123 K «dhyāmaḥ» -> «dhyāmaṃ» ‖ SS.5.8.123 H «dhyāmaḥ» -> «dhyāmaṃ»	proposed	
R0116	other		ay	1	1	1	0	K	SS.1.1.8.4 K «deva✗gandharvakṣarākṣasapitṛpiśācavināyakanāgagrahopasṛṣṭacetasāṃ» -> «devagandharvayakṣarākṣasapitṛpiśācavināyakanāgagrahopasṛṣṭacetasāṃ»	proposed	
R0117	other		e c	1	1	1	0	H	SS.6.17.64b H «athāgramuktai» -> «athābhramukte ca»	proposed	
R0118	other		jo	1	1	1	0	K	SS.6.17.35 K «sasaindhava kravyabhujenamāsa» -> «sasaindhavakravyabhugeṇamāṃsajo»	proposed	
R0119	other		jāś	1	1	1	0	K	SS.5.7.42 K «sthirāṃmandaru» -> «sthirāṃ mandarujāś»	proposed	
R0120	other		ka	1	1	1	0	N	SS.3.2.10.add7 N «lodhratindukaṣāyam» -> «lodhratindukakaṣāyam»	proposed	
R0121	other		kṛ	1	1	1	0	K	SS.6.17.27 K «cayadrasaḥ |» -> «yakṛdrasaḥ»	proposed	
R0122	other		na	1	1	1	0	N	SS.1.16.17 N «paripuṭavām bhavati |» -> «paripuṭanavān bhavati»	proposed	
R0123	other		pi	1	1	1	0	H	SS.5.7.42 H «cā» -> «cāpi»	proposed	
R0124	other		ram	1	1	1	0	H	SS.1.16.3 H «kumā» -> «kumāram»	proposed	
R0125	other		ro	1	1	1	0	H	SS.4.4.28 H «vātarogeṣu» -> «vātarorogeṣu»	proposed	
R0126	other		rā	1	1	1	0	K	SS.6.17.41 K «madigrapesimā |» -> «madirāgrapeṣitāḥ»	proposed	
R0127	other		sya	1	1	1	0	H	SS.1.2.6 H «brūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapāruṣya paiśunyānṛtālasyāyaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni»	proposed	
R0128	other		vi	1	1	1	0	K	SS.1.1.4 K «vidhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośata» -> «vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś»	proposed	
R0129	other		vā 	1	1	1	0	H	SS.6.65.10 H «yo rthaḥ sa» -> «vā yo 'rthaḥ sa»	proposed	
R0130	other		ya	1	1	1	0	K	SS.6.65.10 K «upalakṣ» -> «upalakṣya»	proposed	
R0131	other		śo	1	1	1	0	H	SS.5.8.115 H «kasanādaṃ» -> «kasanādaṃśo»	proposed	
R0132	other	 	ghu	1	1	1	0	N	SS.1.16.8 N «la pravardhanakā» -> «laghupravarddhanakam»	proposed	
R0133	other	 	pā	1	1	1	0	N	SS.1.2.6 N «vrūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsarya rūṣa paiśunyānṛtālasyāsyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni»	proposed	
R0134	other	 na		1	1	1	0	H	SS.3.2.5 H «avījan na bhavati» -> «abījan bhavati»	proposed	
R0135	other	 ya		1	1	1	0	K	SS.6.17.22 K «khādire ya» -> «khādire»	proposed	
R0136	other	a	'	1	1	1	0	K	SS.6.65.22 K «asakṛd asakṛd uktaḥ» -> «'sakṛd asakṛd uktaḥ»	proposed	
R0137	other	a	i	1	1	1	2	H	SS.5.2.21 H «saukṣmyāc charīrāvayavān praviśed vikrayeta» -> «saukṣmyāc charīrāvayavān praviśed vikaroti»	proposed	
R0138	other	a	u	1	1	1	0	H	SS.5.5.84ab H «somarājīyavaphalā» -> «somarājīyabahulā»	proposed	
R0139	other	a	y	1	1	1	0	H	SS.5.3.14 H «vvyāpa» -> «vāpy»	proposed	
R0140	other	a	āṅ	1	1	1	0	N	SS.1.13.20 N «ārdraplotāvacchanna» -> «ārdraplotāvacchannāṅ»	proposed	
R0141	other	a	ū	1	1	1	0	K	SS.5.8.86 K «koṭhaṃ sagaṇḍasthiram» -> «koṭhaṃ sakaṇḍūsthiram»	proposed	
R0142	other	am	ā	1	1	1	2	H	SS.3.3.20 H «samprāptadauhṛdam» -> «samprāptadauhṛdā»	proposed	
R0143	other	aye	o	1	1	1	0	H	SS.5.2.21 H «saukṣmyāc charīrāvayavān praviśed vikrayeta» -> «saukṣmyāc charīrāvayavān praviśed vikaroti»	proposed	
R0144	other	aḥ	o	1	1	1	1	K	SS.1.16.3 K «upaveśyābhisāntvayamānaḥ» -> «upaveśyābhisāntvayamāno»	proposed	
R0145	other	aṃm		1	1	1	0	K	SS.5.1.62 K «sphoṭanaṃmāsrāvau» -> «sphoṭanāsrāvau»	proposed	
R0146	other	bh		1	1	1	0	H	SS.3.2.25 H «darbhbha saṃstaraṇa śāyinīṃ» -> «darbhasaṃstaraṇaśāyinīṃ»	proposed	
R0147	other	c	r	1	1	1	0	N	SS.1.14.16 N «sa sabdācci jala santānavad aṇunā» -> «sa śabdārcijālasantānavad aṇunā»	proposed	
R0148	other	c	y	1	1	1	0	K	SS.1.14.36 K «pācayet | eṇahariṇor abhraṃ mahiṣaśaśavarāhāṃṇāṃ vā» -> «pāyayet | eṇahariṇorabhraṃmahiṣaśaśavarāhāṇāṃ vā»	proposed	
R0149	other	c	ñ	1	1	1	0	H	SS.1.1.4 H «bhagavac chārīramānasāgantubhir» -> «bhagavañ śārīramānasāgantubhir»	proposed	
R0150	other	ca		1	1	1	0	K	SS.6.17.27 K «cayadrasaḥ |» -> «yakṛdrasaḥ»	proposed	
R0151	other	cch	ñ ś	1	1	1	0	K	SS.1.1.4 K «bhagavacchārīramānasāgantu bhi» -> «bhagavañ śārīramānasāgantubhir»	proposed	
R0152	other	cha	śā	1	1	1	0	N	SS.1.1.4 N «bhagavañ charīramānasāgantubhir» -> «bhagavañ śārīramānasāgantubhir»	proposed	
R0153	other	d	h	1	1	1	0	N	SS.1.14.35 N «vadati ||» -> «vahati»	proposed	
R0154	other	d	j	1	1	1	0	H	SS.1.1.22 H «saṃsvedajo hridajarāyujāṇḍajasaṃjñās» -> «saṃsvedajādrijajarāyujāṇḍajasaṃjñaḥ»	proposed	
R0155	other	d	r	1	1	1	0	H	SS.1.16.15 H «bandhān upapādya» -> «bandhān upadhārya»	proposed	
R0156	other	d	t	1	1	1	0	H	SS.5.3.39.add-1 H «bhaved bhinnavalāsaheṣu» -> «bhavet bhinnavalāsaheṣu»	proposed	
R0157	other	d	t |	1	1	1	0	H	SS.4.4.31 H «dahed etat» -> «dahet | etat»	proposed	
R0158	other	de 		1	1	1	0	K	SS.6.65.39 K «de cedañ» -> «cedañ»	proposed	
R0159	other	dh		1	1	1	0	K	SS.6.17.90 K «ajākṣīrāddhitair» -> «ajākṣīrārditair»	proposed	
R0160	other	e	ai	1	1	1	0	H	SS.3.3.23 H «alaṅkāreṣiṇam» -> «alaṅkāraiṣiṇam»	proposed	
R0161	other	ev	c	1	1	1	0	H	SS.6.65.39 H «evedañ» -> «cedañ»	proposed	
R0162	other	g	k	1	1	1	0	K	SS.5.8.86 K «koṭhaṃ sagaṇḍasthiram» -> «koṭhaṃ sakaṇḍūsthiram»	proposed	
R0163	other	ga 	'	1	1	1	0	H	SS.5.7.4 H «ga ralaś» -> «'ralaś»	proposed	
R0164	other	i	ā	1	1	1	0	H	SS.6.17.10 H «bhiṣak pittaśleṣmavibhivitau |» -> «bhiṣak pittasleṣmavibhāvitau»	proposed	
R0165	other	jo 	'	1	1	1	0	H	SS.3.2.51 H «jo thavā» -> «'thavā»	proposed	
R0166	other	k	bh	1	1	1	0	H	SS.5.7.44 H «'kilālimān | avyaktavadhiro» -> «'bhilālimān | avyaktavadhiro»	proposed	
R0167	other	k	d	1	1	1	0	H	SS.3.2.35 H «yādṛkvarṇṇam» -> «yādṛdvarṇṇam»	proposed	
R0168	other	k	t	1	1	1	0	K	SS.5.1.49 K «dhātakīpuṣpa jamvvāmrāsthi harīkakaiḥ |» -> «dhātakīpuṣpajambvāmrāsthiharītakaiḥ»	proposed	
R0169	other	ko 		1	1	1	0	K	SS.1.16.3 K «ko kumāram» -> «kumāram»	proposed	
R0170	other	ko 	'	1	1	1	0	H	SS.3.2.51 H «ko tha» -> «'tha»	proposed	
R0171	other	m	l	1	1	1	0	K	SS.6.17.10 K «bhiṣak pittasmeṣmavibhāvitau |» -> «bhiṣak pittasleṣmavibhāvitau»	proposed	
R0172	other	mo 	ā	1	1	1	0	N	SS.1.16.8 N «mo muñcet |» -> «āmuñcet»	proposed	
R0173	other	n	d	1	1	1	0	H	SS.5.1.20 H «sphoṭayed vilikhen mahīṃ |» -> «sphoṭayed vilikhed mahīm»	proposed	
R0174	other	n	ṃ |	1	1	1	0	N	SS.3.1.16 N «dharmādharmanimittan ta» -> «dharmmādharmmanimittaṃ | ta»	proposed	
R0175	other	nā		1	1	1	0	K	SS.5.1.59 K «sādhayed avalekhanāvat |» -> «sādhayed avalekhavat»	proposed	
R0176	other	nā 		1	1	1	0	H	SS.4.4.27 H «nā cāśokaramyakayor» -> «cāśokaramyakayor»	proposed	
R0177	other	o	au	1	1	1	0	K	SS.6.64.25cd K «dhūpāmodamadotkaṭo» -> «dhūpāmodamadotkaṭau»	proposed	
R0178	other	o	aḥ	1	1	1	1	H	SS.5.8.5 H «ucciṭiṅgās tyalpavāco» -> «ucciṭiṅgāgnyalpavācaḥ»	proposed	
R0179	other	o	u	1	1	1	0	H	SS.6.17.85 H «sātakombhī ca» -> «śātakumbhī ca»	proposed	
R0180	other	o	āṃ	1	1	1	0	N	SS.1.14.6 N «striyo» -> «striyāṃ»	proposed	
R0181	other	o '	ā	1	1	1	0	H	SS.5.4.38 H «grāsārthino 'nnam» -> «grāsārthinānnam»	proposed	
R0182	other	o h	ād	1	1	1	0	H	SS.1.1.22 H «saṃsvedajo hridajarāyujāṇḍajasaṃjñās» -> «saṃsvedajādrijajarāyujāṇḍajasaṃjñaḥ»	proposed	
R0183	other	p	dh	1	1	1	0	H	SS.1.16.15 H «bandhān upapādya» -> «bandhān upadhārya»	proposed	
R0184	other	p	m	1	1	1	0	H	SS.1.13.22.1 H «indrapadaḥ» -> «indramadaḥ»	proposed	
R0185	other	p	v	1	1	1	2	H	SS.5.8.32-verse H «dāhajvararujāpahāḥ || tair» -> «dāhajvararujāvahāḥ | tair»	proposed	
R0186	other	p	ṭ	1	1	1	0	N	SS.1.16.10 N «cārddhakavāpasandhikaḥ |» -> «cārddhakapāṭasandhikaḥ»	proposed	
R0187	other	pi 		1	1	1	0	H	SS.5.7.42 H «pi karṇṇikām» -> «karṇṇikāṃ»	proposed	
R0188	other	r	s	1	1	1	0	H	SS.5.3.35.2 H «raukṣyātaikṣṇyoṣṇyād vikāsitvāt tathaiva» -> «saukṣmyataikṣṇyoṣṇyād vikāsitvāt tathaiva»	proposed	
R0189	other	rp	y	1	1	1	0	N	SS.3.2.25 N «darbha saṃstaraṃ śārpinī» -> «darbhasaṃstaraṇaśāyinīṃ»	proposed	
R0190	other	s	m	1	1	1	0	H	SS.3.2.10.add3 H «tathāslaṃlavaṇaṃ» -> «tathāmlaṃ lavaṇaṃ»	proposed	
R0191	other	s t	gn	1	1	1	0	H	SS.5.8.5 H «ucciṭiṅgās tyalpavāco» -> «ucciṭiṅgāgnyalpavācaḥ»	proposed	
R0192	other	t	s	1	1	1	0	K	SS.1.2.6 K «brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni»	proposed	
R0193	other	te 		1	1	1	0	H	SS.3.3.18 H «te kasmāt» -> «kasmāt»	proposed	
R0194	other	tu		1	1	1	0	N	SS.2.1.84 N «śiro grīva hatunuḥ» -> «śirogrīvahanūḥ»	proposed	
R0195	other	uṃ	ūny	1	1	1	0	H	SS.6.17.27 H «nadīja śakha trikaṭuṃ» -> «nadījaśaṅkhatrikaṭūny»	proposed	
R0196	other	v	bh	1	1	1	0	N	SS.1.16.19 N «athāpraduṣṭasyāvivardhanārtham» -> «athāpraduṣṭasyābhivarddhanārtham»	proposed	
R0197	other	v	c	1	1	1	0	H	SS.1.16.10 H «vārddhakavāṭasandhikaḥ |» -> «cārddhakapāṭasandhikaḥ»	proposed	
R0198	other	v	r	1	1	1	0	H	SS.5.7.60.add-1 H «vījaratnauṣadhīgavbhaiḥ» -> «bījaratnauṣadhīgarbhaiḥ»	proposed	
R0199	other	va	bā	1	1	1	0	H	SS.5.8.140.add-1 H «vyādhikāryavalāvalaṃ ||» -> «vyādhikāryabālābalaṃ»	proposed	
R0200	other	vy		1	1	1	0	H	SS.5.3.14 H «vvyāpa» -> «vāpy»	proposed	
R0201	other	y	i	1	1	1	0	K	SS.1.1.12 K «prakṣyaty» -> «prakṣyati»	proposed	
R0202	other	ñ	ś	1	1	1	1	H	SS.5.7.42 H «sthirān mandarujāñ» -> «sthirāṃ mandarujāś»	proposed	
R0203	other	ā	aḥ	1	1	1	0	H	SS.3.2.40 H «brahmacaryād yā» -> «brahmacaryād yaḥ»	proposed	
R0204	other	ān	aṃ	1	1	1	0	H	SS.6.64.4 H «tasminn arthān» -> «tasminn arthaṃ»	proposed	
R0205	other	ān	v	1	1	1	0	H	SS.3.2.57 H «sttāna bahulāḥ» -> «sattvabahulāḥ»	proposed	
R0206	other	ās 	ai	1	1	1	0	H	SS.3.9.9.add H «evās tāḥ» -> «evaitāḥ»	proposed	
R0207	other	ī	a	1	1	1	0	H	SS.4.4.9 H «datvāsthīni» -> «datvāsthani»	proposed	
R0208	other	ś	ñ	1	1	1	1	H	SS.5.2.31 H «pralepakaś» -> «pralepakañ»	proposed	
R0209	other	ś	ḥ	1	1	1	0	K	SS.5.8.63 K «śyāvaś» -> «śyāvaḥ»	proposed	
R0210	other	ḍ	t	1	1	1	0	N	SS.3.2.10.add1 N «eḍeṣu» -> «eteṣu»	proposed	
R0211	other	ḍ	ṭ	1	1	1	0	H	SS.5.8.105 H «piḍakās» -> «piṭakā»	proposed	
R0212	other	ḥ	m	1	1	1	0	H	SS.6.65.32 H «aprāṇaharaḥ» -> «aprāṇaharam»	proposed	
R0213	other	ḥ |		1	1	1	0	K	SS.5.8.142 K «suśrutaḥ |» -> «suśruta»	proposed	
R0214	other	ṃ 	ṇa	1	1	1	0	N	SS.3.2.25 N «darbha saṃstaraṃ śārpinī» -> «darbhasaṃstaraṇaśāyinīṃ»	proposed	
R0215	other	ṃś	s	1	1	1	0	K	SS.6.64.27e K «tatrāpanītahārāṃś tu» -> «tatrāpanītahārās tu»	proposed	
R0216	other	ṇ	r	1	1	1	0	H	SS.6.64.16i H «haṇiṇān» -> «hariṇān»	proposed	
R0217	punctuation	 		389	21	273	28	H K N	SS.1.1.4 K «bhagavacchārīramānasāgantu bhi» -> «bhagavañ śārīramānasāgantubhir» ‖ SS.1.1.5 K «a dhyā pyāś ca» -> «adhyāpyāś ca» ‖ SS.1.1.5 K «a dhyā pyāś ca» -> «adhyāpyāś ca»	proposed	
R0218	punctuation	 |		53	14	22	6	H K N	SS.1.1.34 N «bhavanti |» -> «bhavanti» ‖ SS.1.13.8 H «avasecayet | ācūṣaṇād antarddīptenālāvunā |» -> «avasecayet | ācūṣaṇād antarddīptenālābunā» ‖ SS.1.14.14 K «kalāmatāni |» -> «kalāśatāni»	proposed	
R0219	punctuation		 	28	12	20	389	H K N	SS.1.2.3 N «upanayet| sa hi» -> «upanayet | sa hi» ‖ SS.1.2.3 H «upanayet| sa hi» -> «upanayet | sa hi» ‖ SS.1.2.6 N «vrūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsarya rūṣa paiśunyānṛtālasyāsyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni»	proposed	
R0220	punctuation	 ||		21	11	12	0	H K N	SS.1.13.23.1 H «bhavataś cātra ||» -> «bhavataś cātra» ‖ SS.1.14.35 N «vadati ||» -> «vahati» ‖ SS.2.1.82 N «ansavandhanaṃ ||» -> «aṃsabandhanaṃ»	proposed	
R0221	punctuation	|		10	7	5	1	H N	SS.1.14.36 N «avacūrṇṇāṅgulyagreṇāvapīḍayet || sālasarjarjunārimedagranthidhavadhanvanatvagbhir vā» -> «avacūrṇṇyāṅgulyagreṇāvapīḍayet | sālasarjarjunārimedagranthidhavadhanvanatvagbhir vā» ‖ SS.2.1.32ab N «gadāṃ vahūn|» -> «gadān bahūn» ‖ SS.3.1.16 N «iti || sa» -> «iti | sa»	proposed	
R0222	punctuation		| 	8	4	6	5	H N	SS.1.1.22 H «kasmāl lokadvaividhyāl loko hi» -> «kasmāl | lokadvaividhyāl | loko hi» ‖ SS.1.13.19 N «syād atha» -> «syād | atha» ‖ SS.1.13.19 H «syād atha» -> «syād | atha»	proposed	
R0223	punctuation	 	'	8	1	4	0	H K	SS.6.17.47 K «kalpe ñjanavistaraḥ» -> «kalpe'ñjanavistaraḥ» ‖ SS.6.17.47 H «kalpe ñjanavistaraḥ» -> «kalpe'ñjanavistaraḥ» ‖ SS.6.17.65 K «pratyāgate pi» -> «pratyāgate'pi»	proposed	
R0224	punctuation	-		7	1	7	0	H	SS.3.2.8 H «śāla-sārādisādhitaṃ» -> «śālasārādisādhitaṃ» ‖ SS.3.2.10.add7 H «madhukapuṣpa-kāśmaryaphalakvātham» -> «madhūkapuṣpakāśmaryaphalakvātham» ‖ SS.3.2.10.add7 H «pā-yayet» -> «pāyayet»	proposed	
R0225	punctuation		 |	6	4	5	53	H K	SS.1.1.22 H «kasmāl lokadvaividhyāl loko hi» -> «kasmāl | lokadvaividhyāl | loko hi» ‖ SS.1.1.22 K «anyat tasmāt puruṣo» -> «anyat | tasmāt puruṣo» ‖ SS.1.1.22 H «anyat tasmāt puruṣo» -> «anyat | tasmāt puruṣo»	proposed	
R0226	punctuation	| 		5	4	5	8	H K N	SS.1.1.38 N «kriyāgrahaṇāt | snehādīni» -> «kriyāgrahaṇāt snehādīni» ‖ SS.1.13.19 H «| rogaṅ» -> «rogaṅ» ‖ SS.1.13.19 H «gṛhṇīyāt | anyāṅ» -> «gṛhṇīyāt anyāṅ»	proposed	
R0227	punctuation		|| 	3	2	2	1	H N	SS.2.1.21ab.1 N «0 ||» -> «|| 0 ||» ‖ SS.2.1.21ab.1 H «0 ||» -> «|| 0 ||» ‖ SS.5.7.62 H «cirāt svāhā» -> «cirāt || svāhā»	proposed	
R0228	punctuation	2		2	2	2	0	H N	SS.2.1.85 N «mūka minmira ga2dgadāṃ» -> «mūkaminmiragadgadām» ‖ SS.6.65.29 H «sakthi2marmmāṇy» -> «sakthimarmāṇy»	proposed	
R0229	punctuation		|	1	1	1	10	N	SS.2.1.20 N «rogāṃ ghorāṃ vastigudāśrayān | śukradoṣā» -> «rogān ghorān bastigudāśrayān || śukradoṣāḥ»	proposed	
R0230	punctuation	 '		1	1	1	0	H	SS.6.65.33 H «tatrātimayo 'pavarṇṇanaṃ» -> «tatrātiśayopavarṇanaṃ»	proposed	
R0231	punctuation	.		1	1	1	0	K	SS.5.2.15 K «pra.kīrtitau» -> «prakīrtitau»	proposed	
R0232	punctuation	3		1	1	1	0	H	SS.3.3.9 H «niyamaṃ3» -> «niyamaṃ»	proposed	
R0233	punctuation	|	 	1	1	1	0	K	SS.1.1.35 K «bhavanti cātra|| śārīrāṇāṃ» -> «bhavanti cātra | śārīrāṇāṃ»	proposed	
R0234	punctuation	||		1	1	1	0	N	SS.1.2.3 N «ato||» -> «ato»	proposed	
R0235	punctuation	|| 		1	1	1	3	K	SS.1.14.28 K «|| vāta viṅ mūtrasaṃgeṣu» -> «vātaviṇmūtrasaṃgeṣu»	proposed	
R0236	sibilant	s	ś	32	10	24	9	H K N	SS.1.1.40 H «arthavasād vibhajya uttare» -> «arthavaśād vibhajya uttare» ‖ SS.1.14.16 N «sa sabdācci jala santānavad aṇunā» -> «sa śabdārcijālasantānavad aṇunā» ‖ SS.2.1.26bcd N «saṃrujām māṃsasaṃsritaḥ |» -> «sarujān māṃsasaṃśritaḥ»	proposed	
R0237	sibilant	ś	s	9	3	6	32	H K N	SS.1.14.9 H «bhavati cātra || viśratā» -> «bhavanti cātra || visratā» ‖ SS.1.14.9 K «pṛthivyādiguṇāś» -> «pṛthivyādiguṇās» ‖ SS.1.14.21 K «viśrāvi» -> «visrāvi»	proposed	
R0238	sibilant		ś	3	2	2	0	H K	SS.1.1.4 K «vidhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośata» -> «vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś» ‖ SS.5.1.45 K «vikṛtā» -> «vikṛtāś» ‖ SS.5.1.45 H «vikṛtā» -> «vikṛtāś»	proposed	
R0239	sibilant	ṣ	ś	3	2	2	1	H K	SS.3.3.16 H «atikarṣaṇaṃ» -> «atikarśanaṃ» ‖ SS.5.4.45 K «uṣanti vai ||» -> «uśanti vai» ‖ SS.5.4.45 H «uṣanti vai ||» -> «uśanti vai»	proposed	
R0240	sibilant	s		2	1	1	0	H K	SS.5.8.105 K «piṭakās» -> «piṭakā» ‖ SS.5.8.105 H «piḍakās» -> «piṭakā»	proposed	
R0241	sibilant	s	ṣ	2	1	1	0	K	SS.6.17.41 K «madigrapesimā |» -> «madirāgrapeṣitāḥ» ‖ SS.6.17.41 K «madirāgrapesimā |» -> «madirāgrapeṣitāḥ»	proposed	
R0242	sibilant	 s	ś	1	1	1	0	N	SS.1.16.10 N «dāha pāka srāva sopha yuktā na» -> «dāhapākasrāvaśophayuktā na»	proposed	
R0243	sibilant	 ś	s	1	1	1	0	H	SS.1.16.10 H «dāha pāka śrāva śopha yuktā na» -> «dāhapākasrāvaśophayuktā na»	proposed	
R0244	sibilant	s 		1	1	1	0	H	SS.5.5.68 H «mānsīhareṇus tṛphalāmuruṅgī» -> «māṃsīhareṇutriphalāmuruṅgī»	proposed	
R0245	sibilant	ś	ṣ	1	1	1	3	H	SS.3.9.9 H «cābhyaṃgapariśekāvagāhāvalepanavīryāṇy» -> «cābhyaṅgapariṣekāvagāhāvalepanavīryāṇy»	proposed	
